ESPN_ID,Pitcher_name(FL),Name(FL),H_Team,H/A,Bats,NP,PA,AB,Hits,2B,3B,HR,Runs,RBI,BB,IBB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,ESPN_ID(p),Pitcher_name(FL),P_Team,Throws,Stadium
5031,Jerad Eickhoff,Brandon Phillips,atl,H,R,7,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0.5,0.5,1,1.5,0.625,33057,Jerad Eickhoff,phi,R,SunTrust Park
33080,Jerad Eickhoff,Adonis Garcia,atl,H,R,27,6,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,33057,Jerad Eickhoff,phi,R,SunTrust Park
30157,Jerad Eickhoff,Tyler Flowers,atl,H,R,13,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33057,Jerad Eickhoff,phi,R,SunTrust Park
28476,Jerad Eickhoff,Matt Kemp,atl,H,R,18,5,5,2,0,0,0,0,0,0,0,1,0,0,0,0.4,0.4,0.4,0.8,0.36,33057,Jerad Eickhoff,phi,R,SunTrust Park
34895,Jerad Eickhoff,Dansby Swanson,atl,H,R,20,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,33057,Jerad Eickhoff,phi,R,SunTrust Park
6478,Jerad Eickhoff,Nick Markakis,atl,H,L,61,19,16,3,0,0,0,0,2,2,0,3,0,0,0,0.188,0.263,0.188,0.451,0.216,33057,Jerad Eickhoff,phi,R,SunTrust Park
31327,Jerad Eickhoff,Ender Inciarte,atl,H,L,36,13,13,1,0,0,0,1,0,0,0,1,0,0,0,0.077,0.077,0.077,0.154,0.069,33057,Jerad Eickhoff,phi,R,SunTrust Park
31359,Jerad Eickhoff,Matt Adams,atl,H,L,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0.45,33057,Jerad Eickhoff,phi,R,SunTrust Park
30910,Mike Foltynewicz,Daniel Nava,phi,A,S,14,4,2,2,1,0,0,1,0,2,0,0,0,0,0,1,1,1.5,2.5,0.887,31819,Mike Foltynewicz,atl,R,SunTrust Park
31811,Mike Foltynewicz,Cameron Rupp,phi,A,R,28,7,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0.143,0,0.143,0.1,31819,Mike Foltynewicz,atl,R,SunTrust Park
33304,Mike Foltynewicz,Andrew Knapp,phi,A,S,11,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31819,Mike Foltynewicz,atl,R,SunTrust Park
32163,Mike Foltynewicz,Maikel Franco,phi,A,R,26,8,8,3,0,0,1,2,1,0,0,0,0,0,0,0.375,0.375,0.75,1.125,0.475,31819,Mike Foltynewicz,atl,R,SunTrust Park
29670,Mike Foltynewicz,Freddy Galvis,phi,A,S,41,12,10,2,0,0,0,0,2,1,0,3,0,0,0,0.2,0.25,0.2,0.45,0.208,31819,Mike Foltynewicz,atl,R,SunTrust Park
31738,Mike Foltynewicz,Aaron Altherr,phi,A,R,23,5,5,1,0,0,0,1,0,0,0,4,0,0,0,0.2,0.2,0.2,0.4,0.18,31819,Mike Foltynewicz,atl,R,SunTrust Park
31995,Mike Foltynewicz,Tommy Joseph,phi,A,R,6,3,3,2,0,0,1,1,1,0,0,0,0,0,0,0.667,0.667,1.667,2.333,0.967,31819,Mike Foltynewicz,atl,R,SunTrust Park
31130,Mike Foltynewicz,Cesar Hernandez,phi,A,S,50,11,8,1,0,0,0,0,0,3,2,3,0,0,0,0.125,0.364,0.125,0.489,0.273,31819,Mike Foltynewicz,atl,R,SunTrust Park
32868,Mike Foltynewicz,Odubel Herrera,phi,A,L,46,11,11,3,0,0,0,0,0,0,0,5,0,0,0,0.273,0.273,0.273,0.545,0.245,31819,Mike Foltynewicz,atl,R,SunTrust Park
32170,Zack Wheeler,Rougned Odor,tex,H,L,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31267,Zack Wheeler,nym,R,Rangers Ballpark in Arlington
3878,Zack Wheeler,Adrian Beltre,tex,H,R,14,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31267,Zack Wheeler,nym,R,Rangers Ballpark in Arlington
30456,Zack Wheeler,Jonathan Lucroy,tex,H,R,16,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31267,Zack Wheeler,nym,R,Rangers Ballpark in Arlington
30445,Zack Wheeler,Robinson Chirinos,tex,H,R,10,3,3,1,0,0,1,1,1,0,0,1,0,0,0,0.333,0.333,1.333,1.667,0.667,31267,Zack Wheeler,nym,R,Rangers Ballpark in Arlington
29515,Zack Wheeler,Elvis Andrus,tex,H,R,13,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333,0,0.333,0.233,31267,Zack Wheeler,nym,R,Rangers Ballpark in Arlington
6205,Zack Wheeler,Shin-Soo Choo,tex,H,L,13,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1,0.417,31267,Zack Wheeler,nym,R,Rangers Ballpark in Arlington
28671,Yu Darvish,Asdrubal Cabrera,nym,A,S,36,10,10,5,2,0,1,3,3,0,0,2,0,2,0,0.5,0.5,1,1.5,0.63,32055,Yu Darvish,tex,R,Rangers Ballpark in Arlington
6125,Yu Darvish,Curtis Granderson,nym,A,L,33,7,6,1,1,0,0,1,0,1,0,2,0,0,0,0.167,0.286,0.333,0.619,0.279,32055,Yu Darvish,tex,R,Rangers Ballpark in Arlington
5411,Yu Darvish,Jose Reyes,nym,A,S,26,8,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32055,Yu Darvish,tex,R,Rangers Ballpark in Arlington
29590,Yu Darvish,Neil Walker,nym,A,S,10,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32055,Yu Darvish,tex,R,Rangers Ballpark in Arlington
29951,Yu Darvish,Travis d'Arnaud,nym,A,R,9,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.5,0,0.5,0.35,32055,Yu Darvish,tex,R,Rangers Ballpark in Arlington
28954,Yu Darvish,Jay Bruce,nym,A,L,10,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,0.6,32055,Yu Darvish,tex,R,Rangers Ballpark in Arlington
30953,Yu Darvish,Lucas Duda,nym,A,L,8,2,1,1,0,0,1,2,2,1,0,0,0,0,0,1,1,4,5,1.35,32055,Yu Darvish,tex,R,Rangers Ballpark in Arlington
29691,Jose Urena,Jon Jay,chc,H,L,9,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,2,0.8,33107,Jose Urena,mia,R,Wrigley Field
29551,Jose Urena,Jason Heyward,chc,H,L,9,2,2,1,0,0,1,1,1,0,0,0,0,0,0,0.5,0.5,2,2.5,1,33107,Jose Urena,mia,R,Wrigley Field
33172,Jose Urena,Kris Bryant,chc,H,R,12,3,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0.333,0,0.333,0.233,33107,Jose Urena,mia,R,Wrigley Field
28586,Jose Urena,Miguel Montero,chc,H,L,18,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33107,Jose Urena,mia,R,Wrigley Field
30782,Jose Urena,Anthony Rizzo,chc,H,L,12,3,2,1,1,0,0,0,1,1,0,0,0,0,0,0.5,0.667,1,1.667,0.65,33107,Jose Urena,mia,R,Wrigley Field
32656,Jose Urena,Addison Russell,chc,H,R,5,2,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,2,0.8,33107,Jose Urena,mia,R,Wrigley Field
30635,John Lackey,Tyler Moore,mia,A,R,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1.25,5203,John Lackey,chc,R,Wrigley Field
30726,John Lackey,Dee Gordon,mia,A,L,33,8,7,2,0,0,0,1,0,1,0,2,0,1,0,0.286,0.375,0.286,0.661,0.312,5203,John Lackey,chc,R,Wrigley Field
31784,John Lackey,Derek Dietrich,mia,A,L,18,6,5,2,0,0,0,1,0,0,0,0,1,0,0,0.4,0.5,0.4,0.9,0.417,5203,John Lackey,chc,R,Wrigley Field
31283,John Lackey,Christian Yelich,mia,A,L,26,6,4,2,1,0,0,0,2,1,0,0,0,0,0,0.5,0.5,0.75,1.25,0.475,5203,John Lackey,chc,R,Wrigley Field
29258,John Lackey,A.J. Ellis,mia,A,R,14,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5203,John Lackey,chc,R,Wrigley Field
30583,John Lackey,Giancarlo Stanton,mia,A,R,19,6,5,1,0,0,0,1,1,1,0,2,0,0,0,0.2,0.333,0.2,0.533,0.267,5203,John Lackey,chc,R,Wrigley Field
31668,John Lackey,Marcell Ozuna,mia,A,R,29,7,7,1,0,0,0,1,0,0,0,3,0,0,0,0.143,0.143,0.143,0.286,0.129,5203,John Lackey,chc,R,Wrigley Field
4570,John Lackey,Ichiro Suzuki,mia,A,L,395,130,122,37,6,1,1,24,7,7,2,16,1,13,0,0.303,0.346,0.393,0.74,0.329,5203,John Lackey,chc,R,Wrigley Field
31116,John Lackey,Christian Colon,mia,A,R,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0.9,5203,John Lackey,chc,R,Wrigley Field
32177,John Lackey,J.T. Realmuto,mia,A,R,21,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.3,5203,John Lackey,chc,R,Wrigley Field
29087,Jimmy Nelson,Denard Span,sf,A,L,20,8,8,2,0,0,0,0,0,0,0,0,0,1,0,0.25,0.25,0.25,0.5,0.225,32738,Jimmy Nelson,mil,R,Miller Park
30112,Jimmy Nelson,Buster Posey,sf,A,R,23,6,5,2,0,0,0,1,2,1,0,0,0,1,0,0.4,0.5,0.4,0.9,0.417,32738,Jimmy Nelson,mil,R,Miller Park
6190,Jimmy Nelson,Aaron Hill,sf,A,R,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32738,Jimmy Nelson,mil,R,Miller Park
30901,Jimmy Nelson,Brandon Belt,sf,A,L,14,6,6,1,1,0,0,1,0,0,0,1,0,0,0,0.167,0.167,0.333,0.5,0.208,32738,Jimmy Nelson,mil,R,Miller Park
