PLAYERNAME,FIRSTNAME,LASTNAME,TEAM,POS,ESPNID,ESPNNAME,BATS,IDPLAYER
Nick Ahmed,Nick,Ahmed,ARI,SS,32355,Nick Ahmed,R,ahmedni01
Socrates Brito,Socrates,Brito,ARI,OF,32485,Socrates Brito,L,britoso01
Hank Conger,Hank,Conger,ARI,C,29316,Hank Conger,B,congeha01
Daniel Descalso,Daniel,Descalso,ARI,SS,30475,Daniel Descalso,L,descada01
Brandon Drury,Brandon,Drury,ARI,3B,32269,Brandon Drury,R,drurybr01
Reymond Fuentes,Reymond,Fuentes,ARI,OF,31280,Reymond Fuentes,L,fuentra01
Paul Goldschmidt,Paul,Goldschmidt,ARI,1B,31027,Paul Goldschmidt,R,goldspa01
Jeremy Hazelbaker,Jeremy,Hazelbaker,ARI,OF,30654,Jeremy Hazelbaker,L,hazelje01
Chris Herrmann,Chris,Herrmann,ARI,C,31998,Chris Herrmann,L,herrmch01
Chris Iannetta,Chris,Iannetta,ARI,C,28561,Chris Iannetta,R,iannech01
Jacob Lamb,Jacob,Lamb,ARI,3B,32742,Jake Lamb,L,lambja01
Ketel Marte,Ketel,Marte,ARI,SS,32512,Ketel Marte,B,marteke01
Jeff Mathis,Jeff,Mathis,ARI,C,5921,Jeff Mathis,R,mathije01
Kristopher Negron,Kristopher,Negron,ARI,OF,29307,Kris Negron,R,negrokr01
Chris Owings,Chris,Owings,ARI,SS,30862,Chris Owings,R,owingch01
David Peralta,David,Peralta,ARI,OF,33384,David Peralta,L,peralda01
A.J. Pollock,A.J.,Pollock,ARI,OF,30699,A.J. Pollock,R,polloaj01
Yasmany Tomas,Yasmany,Tomas,ARI,OF,33662,Yasmany Tomas,R,tomasya01
Christian Walker,Christian,Walker,ARI,1B,32758,Christian Walker,R,walkech02
Ronald Acuna,Ronald,Acuna,ATL,OF,,,R,acunaro01
Ozzie Albies,Ozzie,Albies,ATL,SS,33783,Ozzie Albies,B,albieoz01
Emilio Bonifacio,Emilio,Bonifacio,ATL,OF,28877,Emilio Bonifacio,B,bonifem01
Chase d'Arnaud,Chase,d'Arnaud,ATL,SS,30676,Chase d'Arnaud,R,darnach01
Tyler Flowers,Tyler,Flowers,ATL,C,30157,Tyler Flowers,R,flowety01
Freddie Freeman,Freddie,Freeman,ATL,1B,30193,Freddie Freeman,L,freemfr01
Adonis Garcia,Adonis,Garcia,ATL,3B,33080,Adonis Garcia,R,garciad01
Tyler Greene,Tyler,Greene,ATL,2B,,,R,greenty02
Ender Inciarte,Ender,Inciarte,ATL,OF,31327,Ender Inciarte,L,inciaen01
Alex Jackson,Alex,Jackson,ATL,OF,33707,Alex Jackson,R,jacksal01
Micah Johnson,Micah,Johnson,ATL,2B,33149,Micah Johnson,L,johnsmi04
Matt Kemp,Matt,Kemp,ATL,OF,28476,Matt Kemp,R,kempma01
Kyle Kubitza,Kyle,Kubitza,ATL,3B,32865,Kyle Kubitza,L,kubitky01
Blake Lalli,Blake,Lalli,ATL,1B,,,L,lallibl01
Nick Markakis,Nick,Markakis,ATL,OF,6478,Nick Markakis,L,markani01
Ronnier Mustelier,Ronnier,Mustelier,ATL,3B,,,R,mustero01
Jace Peterson,Jace,Peterson,ATL,2B,32323,Jace Peterson,L,peterja01
Brandon Phillips,Brandon,Phillips,ATL,2B,5031,Brandon Phillips,R,phillbr01
Anthony Recker,Anthony,Recker,ATL,C,29490,Anthony Recker,R,reckean01
Sean Rodriguez,Sean,Rodriguez,ATL,SS,29105,Sean Rodriguez,R,rodrise01
Rio Ruiz,Rio,Ruiz,ATL,3B,,,L,ruizri01
Kurt Suzuki,Kurt,Suzuki,ATL,C,28802,Kurt Suzuki,R,suzukku01
Dansby Swanson,Dansby,Swanson,ATL,SS,34895,Dansby Swanson,R,swansda01
Colin Walsh,Colin,Walsh,ATL,3B,34296,,B,walshco02
Pedro Alvarez,Pedro,Alvarez,BAL,DH,29962,Pedro Alvarez,L,alvarpe01
