IDPLAYER,PLAYERNAME,FIRSTNAME,LASTNAME,TEAM,POS,ESPNID,ESPNNAME,KFFLNAME,THROWS
abadfe01,Fernando Abad,Fernando,Abad,BOS,P,30417,Fernando Abad,,L
adlemti01,Tim Adleman,Tim,Adleman,CIN,P,33962,Tim Adleman,,R
alberma01,Matt Albers,Matt,Albers,WAS,P,28525,Matt Albers,,R
albural01,Al Alburquerque,Al,Alburquerque,KC,P,30494,Al Alburquerque,,R
allenco01,Cody Allen,Cody,Allen,CLE,P,32188,Cody Allen,,R
alvarjo01,Jose Alvarez,Jose,Alvarez,LAA,P,32099,Jose Alvarez,,R
anderbr04,Brett Anderson,Brett,Anderson,CHC,P,30041,Brett Anderson,,L
anderch01,Chase Anderson,Chase,Anderson,MIL,P,32690,Chase Anderson,,R
anderco01,Cody Anderson,Cody,Anderson,CLE,P,33183,Cody Anderson,,R
anderty01,Tyler Anderson,Tyler,Anderson,COL,P,32151,Tyler Anderson,,L
andrima01,Matt Andriese,Matt,Andriese,TB,P,32549,Matt Andriese,,R
archech01,Chris Archer,Chris,Archer,TB,P,31003,Chris Archer,,R
arrieja01,Jake Arrieta,Jake,Arrieta,CHC,P,30145,Jake Arrieta,,R
asheral01,Alec Asher,Alec,Asher,BAL,P,33787,Alec Asher,,R
avilalu01,Luis Avilan,Luis,Avilan,LAD,P,31465,Luis Avilan,,L
axforjo01,John Axford,John,Axford,OAK,P,30378,John Axford,,R
baezpe01,Pedro Baez,Pedro,Baez,LAD,P,30694,Pedro Baez,,R
bailean01,Andrew Bailey,Andrew,Bailey,LAA,P,30096,Andrew Bailey,,R
baileho02,Homer Bailey,Homer,Bailey,CIN,P,28668,Homer Bailey,,R
balesco01,Collin Balester,Collin,Balester,DET,P,28967,Collin Balester,,R
banuema01,Manny Banuelos,Manny,Banuelos,LAA,P,31123,Manny Banuelos,,L
bardda01,Daniel Bard,Daniel,Bard,STL,P,30158,Daniel Bard,,R
barneja01,Jacob Barnes,Jacob,Barnes,MIL,P,34868,Jacob Barnes,,R
