Game_date=20170604,DFS_Salary_date=20170604,PA_minimum=1,player names are delimited by quotes
MLB_ID,ESPN_ID,Name(LF),Name(FL),Team,H/A,Bats,Active,FD_pos,DK_pos,DD_pos,YH_pos,FD_sal,DK_sal,DD_sal,YH_sal,NP,PA,AB,Hits,2B,3B,HR,Runs,RBI,BB,IBB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,MLB_ID(p),ESPN_ID(p),Pitcher_name(LF),Pitcher_name(FL),P_Team,Throws,game_time,Stadium,FD_sal,DK_sal,DD_sal,YH_sal
430832,5890,"Bautista, Jose","Jose Bautista",tor,H,R,1,7,7,7,7,,,,,63,13,10,2,0,0,1,1,2,3,0,6,0,0,0,.200,.385,.500,.885,.385,622663,33263,"Severino, Luis","Luis Severino",nyy,R,1:07 PM EDT,Rogers Centre,,,,
434778,6188,"Morales, Kendrys","Kendrys Morales",tor,H,S,1,3,3,3,3,,,,,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,622663,33263,"Severino, Luis","Luis Severino",nyy,R,1:07 PM EDT,Rogers Centre,,,,
456665,28886,"Pearce, Steven"," Steven Pearce",tor,H,R,,7,47,47,7,,,,,11,4,4,1,1,0,0,0,1,0,0,1,0,0,0,.250,.250,.500,.750,.312,622663,33263,"Severino, Luis","Luis Severino",nyy,R,1:07 PM EDT,Rogers Centre,,,,
572365,30636,"Goins, Ryan","Ryan Goins",tor,H,L,1,4,46,46,4,,,,,28,8,7,2,0,0,1,1,4,0,0,0,0,0,0,.286,.250,.714,.964,.362,622663,33263,"Severino, Luis","Luis Severino",nyy,R,1:07 PM EDT,Rogers Centre,,,,
581527,32938,"Travis, Devon","Devon Travis",tor,H,R,1,4,4,4,,,,,,17,5,5,2,1,0,0,2,0,0,0,0,0,0,0,.400,.400,.600,1.000,.430,622663,33263,"Severino, Luis","Luis Severino",nyy,R,1:07 PM EDT,Rogers Centre,,,,
458085,29772,"Coghlan, Chris","Chris Coghlan",tor,H,L,1,7,47,47,7,,,,,20,6,6,2,0,0,1,1,1,0,0,1,0,0,0,.333,.333,.833,1.167,.483,622663,33263,"Severino, Luis","Luis Severino",nyy,R,1:07 PM EDT,Rogers Centre,,,,
571912,33271,"Maile, Luke","Luke Maile",tor,H,R,1,2,2,2,2,,,,,18,4,3,0,0,0,0,0,0,1,0,1,0,0,0,.000,.250,.000,.250,.175,622663,33263,"Severino, Luis","Luis Severino",nyy,R,1:07 PM EDT,Rogers Centre,,,,
475253,30175,"Smoak, Justin","Justin Smoak",tor,H,S,1,3,3,3,3,,,,,50,11,9,4,0,0,1,2,3,1,0,1,1,0,0,.444,.545,.778,1.323,.555,622663,33263,"Severino, Luis","Luis Severino",nyy,R,1:07 PM EDT,Rogers Centre,,,,
518626,29563,"Donaldson, Josh","Josh Donaldson",tor,H,R,1,5,5,5,5,,,,,47,11,7,2,0,0,1,4,3,3,0,1,1,0,0,.286,.545,.714,1.260,.518,622663,33263,"Severino, Luis","Luis Severino",nyy,R,1:07 PM EDT,Rogers Centre,,,,
485567,29008,"Carrera, Ezequiel","Ezequiel Carrera",tor,H,L,1,7,7,7,7,,,,,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,622663,33263,"Severino, Luis","Luis Severino",nyy,R,1:07 PM EDT,Rogers Centre,,,,
431145,6390,"Martin, Russell","Russell Martin",tor,H,R,1,2,2,2,2,,,,,40,7,5,1,0,0,0,0,2,2,0,2,0,0,0,.200,.429,.200,.629,.329,622663,33263,"Severino, Luis","Luis Severino",nyy,R,1:07 PM EDT,Rogers Centre,,,,
453064,28567,"Tulowitzki, Troy","Troy Tulowitzki",tor,H,R,1,6,6,6,6,,,,,22,7,7,3,2,0,0,2,1,0,0,2,0,0,0,.429,.429,.714,1.143,.486,622663,33263,"Severino, Luis","Luis Severino",nyy,R,1:07 PM EDT,Rogers Centre,,,,
607680,32859,"Pillar, Kevin","Kevin Pillar",tor,H,R,1,7,7,7,7,,,,,34,9,7,2,0,0,1,1,1,2,0,1,0,2,0,.286,.444,.714,1.159,.478,622663,33263,"Severino, Luis","Luis Severino",nyy,R,1:07 PM EDT,Rogers Centre,,,,
452104,28809,"Headley, Chase","Chase Headley",nyy,A,S,1,5,5,5,5,,,,,56,15,13,2,0,0,0,1,0,2,0,5,0,0,0,.154,.267,.154,.421,.213,573186,32815,"Stroman, Marcus","Marcus Stroman",tor,R,1:07 PM EDT,Rogers Centre,,,,
544369,31376,"Gregorius, Didi","Didi Gregorius",nyy,A,L,1,6,6,6,6,,,,,41,13,13,2,1,0,0,2,0,0,0,1,0,0,0,.154,.154,.231,.385,.165,573186,32815,"Stroman, Marcus","Marcus Stroman",tor,R,1:07 PM EDT,Rogers Centre,,,,
519222,29470,"Romine, Austin","Austin Romine",nyy,A,R,1,2,2,2,2,,,,,6,2,2,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,573186,32815,"Stroman, Marcus","Marcus Stroman",tor,R,1:07 PM EDT,Rogers Centre,,,,
407812,5940,"Holliday, Matt","Matt Holliday",nyy,A,R,1,7,7,7,7,,,,,17,5,3,2,1,0,1,1,3,1,0,0,1,1,0,.667,.800,2.000,2.800,.930,573186,32815,"Stroman, Marcus","Marcus Stroman",tor,R,1:07 PM EDT,Rogers Centre,,,,
458731,29174,"Gardner, Brett","Brett Gardner",nyy,A,L,1,7,7,7,7,,,,,123,26,24,7,1,0,2,3,5,2,0,2,0,0,1,.292,.346,.583,.929,.394,573186,32815,"Stroman, Marcus","Marcus Stroman",tor,R,1:07 PM EDT,Rogers Centre,,,,
543305,31253,"Hicks, Aaron","Aaron Hicks",nyy,A,S,1,7,7,7,7,,,,,20,4,3,1,0,0,0,1,0,1,0,1,0,0,0,.333,.500,.333,.833,.400,573186,32815,"Stroman, Marcus","Marcus Stroman",tor,R,1:07 PM EDT,Rogers Centre,,,,
596142,31095,"Sanchez, Gary","Gary Sanchez",nyy,A,R,1,2,2,2,2,,,,,14,3,3,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,573186,32815,"Stroman, Marcus","Marcus Stroman",tor,R,1:07 PM EDT,Rogers Centre,,,,
543309,30545,"Higashioka, Kyle"," Kyle Higashioka",nyy,A,R,,,,,,,,,,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,.000,1.000,.000,1.000,.700,573186,32815,"Stroman, Marcus","Marcus Stroman",tor,R,1:07 PM EDT,Rogers Centre,,,,
592122,32161,"Austin, Tyler"," Tyler Austin",nyy,A,R,,,,,,,,,,18,4,4,1,0,0,0,0,0,0,0,2,0,0,0,.250,.250,.250,.500,.225,573186,32815,"Stroman, Marcus","Marcus Stroman",tor,R,1:07 PM EDT,Rogers Centre,,,,
474892,29486,"Carter, Chris","Chris Carter",nyy,A,R,1,3,3,3,3,,,,,17,4,4,1,0,0,0,0,2,0,0,1,0,0,0,.250,.250,.250,.500,.225,573186,32815,"Stroman, Marcus","Marcus Stroman",tor,R,1:07 PM EDT,Rogers Centre,,,,
591720,31200,"Torreyes, Ronald","Ronald Torreyes",nyy,A,R,1,,45,45,4,,,,,15,4,4,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,573186,32815,"Stroman, Marcus","Marcus Stroman",tor,R,1:07 PM EDT,Rogers Centre,,,,
453056,28637,"Ellsbury, Jacoby"," Jacoby Ellsbury",nyy,A,L,,7,7,7,7,,,,,81,21,20,1,1,0,0,0,0,1,0,5,0,1,0,.050,.095,.100,.195,.093,573186,32815,"Stroman, Marcus","Marcus Stroman",tor,R,1:07 PM EDT,Rogers Centre,,,,
592450,33192,"Judge, Aaron","Aaron Judge",nyy,A,R,1,,,,,,,,,5,2,2,2,0,0,1,1,2,0,0,0,0,0,1,1.000,1.000,2.500,3.500,1.450,573186,32815,"Stroman, Marcus","Marcus Stroman",tor,R,1:07 PM EDT,Rogers Centre,,,,
595885,32695,"Bird, Gregory"," Gregory Bird",nyy,A,L,,3,3,3,3,,,,,10,3,3,1,0,0,0,0,0,0,0,1,0,0,0,.333,.333,.333,.667,.300,573186,32815,"Stroman, Marcus","Marcus Stroman",tor,R,1:07 PM EDT,Rogers Centre,,,,
516770,30450,"Castro, Starlin","Starlin Castro",nyy,A,R,1,4,6,6,6,,,,,28,8,8,2,0,0,1,2,1,0,0,2,0,0,0,.250,.250,.625,.875,.362,573186,32815,"Stroman, Marcus","Marcus Stroman",tor,R,1:07 PM EDT,Rogers Centre,,,,
457708,28841,"Upton, Justin","Justin Upton",det,H,R,1,7,7,7,7,,,,,25,5,4,2,0,0,1,2,4,1,0,2,0,0,0,.500,.600,1.250,1.850,.720,571787,31594,"Holmberg, David","David Holmberg",chw,L,1:10 PM EDT,Comerica Park,,,,
594576,33308,"May, Jacob"," Jacob May",chw,A,S,,,,,,,,,,12,2,2,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,434378,6341,"Verlander, Justin","Justin Verlander",det,R,1:10 PM EDT,Comerica Park,,,,
434567,6428,"Soto, Geovany"," Geovany Soto",chw,A,R,,2,2,2,2,,,,,52,10,9,1,0,0,1,1,3,1,0,4,0,0,0,.111,.200,.444,.644,.270,434378,6341,"Verlander, Justin","Justin Verlander",det,R,1:10 PM EDT,Comerica Park,,,,
573135,31190,"Saladino, Tyler"," Tyler Saladino",chw,A,R,,5,56,56,5,,,,,41,11,10,5,2,0,0,1,1,1,0,1,0,0,0,.500,.545,.700,1.245,.536,434378,6341,"Verlander, Justin","Justin Verlander",det,R,1:10 PM EDT,Comerica Park,,,,
547989,33095,"Abreu, Jose","Jose Abreu",chw,A,R,1,3,3,3,3,,,,,143,35,32,12,2,0,4,7,5,3,0,8,0,1,0,.375,.429,.812,1.241,.514,434378,6341,"Verlander, Justin","Justin Verlander",det,R,1:10 PM EDT,Comerica Park,,,,
553882,34254,"Narvaez, Omar","Omar Narvaez",chw,A,L,1,,,,,,,,,14,3,2,0,0,0,0,0,0,1,0,0,0,0,0,.000,.333,.000,.333,.233,434378,6341,"Verlander, Justin","Justin Verlander",det,R,1:10 PM EDT,Comerica Park,,,,
541645,30729,"Garcia, Avisail","Avisail Garcia",chw,A,R,1,7,7,7,7,,,,,74,22,22,6,2,0,0,1,0,0,0,6,0,0,0,.273,.273,.364,.636,.277,434378,6341,"Verlander, Justin","Justin Verlander",det,R,1:10 PM EDT,Comerica Park,,,,
570560,32264,"Sanchez, Carlos","Yolmer Sanchez",chw,A,S,1,4,4,4,4,,,,,33,8,8,0,0,0,0,0,0,0,0,4,0,0,0,.000,.000,.000,.000,.000,434378,6341,"Verlander, Justin","Justin Verlander",det,R,1:10 PM EDT,Comerica Park,,,,
641313,33184,"Anderson, Tim","Tim Anderson",chw,A,R,1,,,,,,,,,28,10,10,1,0,0,0,0,0,0,0,4,0,0,0,.100,.100,.100,.200,.090,434378,6341,"Verlander, Justin","Justin Verlander",det,R,1:10 PM EDT,Comerica Park,,,,
